date,age_group,total_cases,total_cases_hospitalised
2021-12-10,Unknown,2,0
2021-12-10,Total,9552,490
2021-12-11,0 to 9,1888,35
2021-12-11,10 to 19,1642,13
2021-12-11,20 to 29,2044,85
2021-12-11,30 to 39,1655,96
2021-12-11,40 to 49,1038,89
2021-12-11,50 to 59,807,100
2021-12-11,60 to 69,357,36
2021-12-11,70+,180,37
2021-12-11,Unknown,2,0
2021-12-11,Total,9613,491
2021-12-12,0 to 9,1913,35
2021-12-12,10 to 19,1662,13
2021-12-12,20 to 29,2053,85
2021-12-12,30 to 39,1680,96
2021-12-12,40 to 49,1046,89
2021-12-12,50 to 59,815,100
2021-12-12,60 to 69,360,37
2021-12-12,70+,183,37
2021-12-12,Unknown,2,0
2021-12-12,Total,9714,492
2021-12-13,0 to 9,1943,35
2021-12-13,10 to 19,1679,14
2021-12-13,20 to 29,2073,85
2021-12-13,30 to 39,1697,97
2021-12-13,40 to 49,1051,90
2021-12-13,50 to 59,821,100
2021-12-13,60 to 69,364,37
2021-12-13,70+,184,37
2021-12-13,Unknown,2,0
2021-12-13,Total,9814,495
2021-12-14,0 to 9,1966,35
2021-12-14,10 to 19,1693,14
2021-12-14,20 to 29,2085,86
2021-12-14,30 to 39,1709,98
2021-12-14,40 to 49,1058,90
2021-12-14,50 to 59,825,101
2021-12-14,60 to 69,367,37
2021-12-14,70+,184,37
2021-12-14,Unknown,3,0
2021-12-14,Total,9890,498
2021-12-15,0 to 9,1980,35
2021-12-15,10 to 19,1708,16
2021-12-15,20 to 29,2103,89
2021-12-15,30 to 39,1717,101
2021-12-15,40 to 49,1068,90
2021-12-15,50 to 59,832,102
2021-12-15,60 to 69,367,37
2021-12-15,70+,186,38
2021-12-15,Unknown,2,0
2021-12-15,Total,9963,508
2021-12-16,0 to 9,1998,36
2021-12-16,10 to 19,1723,16
2021-12-16,20 to 29,2117,90
2021-12-16,30 to 39,1729,101
2021-12-16,40 to 49,1076,91
2021-12-16,50 to 59,839,103
2021-12-16,60 to 69,373,38
2021-12-16,70+,186,41
2021-12-16,Unknown,13,0
2021-12-16,Total,10054,516
2021-12-17,0 to 9,2016,38
2021-12-17,10 to 19,1739,16
2021-12-17,20 to 29,2140,90
2021-12-17,30 to 39,1742,101
2021-12-17,40 to 49,1082,92
2021-12-17,50 to 59,843,103
2021-12-17,60 to 69,375,38
2021-12-17,70+,187,41
2021-12-17,Unknown,5,0
2021-12-17,Total,10129,519
2021-12-18,0 to 9,2022,38
2021-12-18,10 to 19,1748,16
2021-12-18,20 to 29,2148,90
2021-12-18,30 to 39,1743,102
2021-12-18,40 to 49,1087,92
2021-12-18,50 to 59,849,103
2021-12-18,60 to 69,378,38
2021-12-18,70+,188,41
2021-12-18,Unknown,5,0
2021-12-18,Total,10168,520
2021-12-18,0 to 9,2029,38
2021-12-18,10 to 19,1755,16
2021-12-18,20 to 29,2156,90
2021-12-18,30 to 39,1753,102
2021-12-18,40 to 49,1096,93
2021-12-18,50 to 59,857,103
2021-12-18,60 to 69,380,38
2021-12-18,70+,189,41
2021-12-18,Unknown,5,0
2021-12-18,Total,10220,521
2021-12-19,0 to 9,2029,38
2021-12-19,10 to 19,1755,16
2021-12-19,20 to 29,2156,90
2021-12-19,30 to 39,1753,102
2021-12-19,40 to 49,1096,93
2021-12-19,50 to 59,857,103
2021-12-19,60 to 69,380,38
2021-12-19,70+,189,41
2021-12-19,Unknown,5,0
2021-12-19,Total,10220,521
2021-12-19,0 to 9,2044,38
2021-12-19,10 to 19,1765,18
2021-12-19,20 to 29,2169,90
2021-12-19,30 to 39,1760,102
2021-12-19,40 to 49,1107,94
2021-12-19,50 to 59,864,103
2021-12-19,60 to 69,383,38
2021-12-19,70+,192,42
2021-12-19,Unknown,5,0
2021-12-19,Total,10289,525
2021-12-20,0 to 9,2052,38
2021-12-20,10 to 19,1776,18
2021-12-20,20 to 29,2174,91
2021-12-20,30 to 39,1763,103
2021-12-20,40 to 49,1111,94
2021-12-20,50 to 59,865,103
2021-12-20,60 to 69,384,41
2021-12-20,70+,192,42
2021-12-20,Unknown,3,1
2021-12-20,Total,10320,531
2021-12-21,0 to 9,2064,38
2021-12-21,10 to 19,1782,18
2021-12-21,20 to 29,2189,91
2021-12-21,30 to 39,1769,104
2021-12-21,40 to 49,1117,95
2021-12-21,50 to 59,871,104
2021-12-21,60 to 69,386,41
2021-12-21,70+,194,42
2021-12-21,Unknown,3,1
2021-12-21,Total,10375,534
2021-12-22,0 to 9,2078,40
2021-12-22,10 to 19,1789,18
2021-12-22,20 to 29,2201,94
2021-12-22,30 to 39,1782,105
2021-12-22,40 to 49,1119,96
2021-12-22,50 to 59,875,105
2021-12-22,60 to 69,389,42
2021-12-22,70+,195,42
2021-12-22,Unknown,2,0
2021-12-22,Total,10430,542
2021-12-23,0 to 9,2094,40
2021-12-23,10 to 19,1796,18
2021-12-23,20 to 29,2212,95
2021-12-23,30 to 39,1795,105
2021-12-23,40 to 49,1127,96
2021-12-23,50 to 59,880,106
2021-12-23,60 to 69,389,42
2021-12-23,70+,195,42
2021-12-23,Unknown,3,0
2021-12-23,Total,10491,544
2021-12-25,0 to 9,2129,42
2021-12-25,10 to 19,1818,18
2021-12-25,20 to 29,2231,97
2021-12-25,30 to 39,1807,109
2021-12-25,40 to 49,1138,97
2021-12-25,50 to 59,893,107
2021-12-25,60 to 69,398,42
2021-12-25,70+,200,42
2021-12-25,Unknown,3,0
2021-12-25,Total,10617,554
2021-12-26,0 to 9,2134,42
2021-12-26,10 to 19,1823,18
2021-12-26,20 to 29,2236,98
2021-12-26,30 to 39,1811,111
2021-12-26,40 to 49,1144,98
2021-12-26,50 to 59,899,108
2021-12-26,60 to 69,401,42
2021-12-26,70+,200,42
2021-12-26,Unknown,3,0
2021-12-26,Total,10651,559
2021-12-27,0 to 9,2136,42
2021-12-27,10 to 19,1827,18
2021-12-27,20 to 29,2238,98
2021-12-27,30 to 39,1814,111
2021-12-27,40 to 49,1147,99
2021-12-27,50 to 59,900,107
2021-12-27,60 to 69,402,42
2021-12-27,70+,201,42
2021-12-27,Unknown,3,0
2021-12-27,Total,10668,559
2021-12-28,0 to 9,2152,42
2021-12-28,10 to 19,1831,18
2021-12-28,20 to 29,2249,99
2021-12-28,30 to 39,1824,111
2021-12-28,40 to 49,1149,99
2021-12-28,50 to 59,902,107
2021-12-28,60 to 69,405,41
2021-12-28,70+,201,43
2021-12-28,Unknown,3,0
2021-12-28,Total,10716,560
2021-12-29,0 to 9,2175,43
2021-12-29,10 to 19,1841,18
2021-12-29,20 to 29,2255,100
2021-12-29,30 to 39,1827,112
2021-12-29,40 to 49,1155,100
2021-12-29,50 to 59,905,107
2021-12-29,60 to 69,407,42
2021-12-29,70+,207,42
2021-12-29,Unknown,4,0
2021-12-29,Total,10776,564
2021-12-30,0 to 9,2183,43
2021-12-30,10 to 19,1852,18
2021-12-30,20 to 29,2265,101
2021-12-30,30 to 39,1833,113
2021-12-30,40 to 49,1160,100
2021-12-30,50 to 59,909,108
2021-12-30,60 to 69,407,43
2021-12-30,70+,212,43
2021-12-30,Unknown,4,0
2021-12-30,Total,10825,569
2022-01-01,0 to 9,2215,43
2022-01-01,10 to 19,1866,18
2022-01-01,20 to 29,2276,102
2022-01-01,30 to 39,1847,114
2022-01-01,40 to 49,1170,101
2022-01-01,50 to 59,921,109
2022-01-01,60 to 69,410,43
2022-01-01,70+,220,43
2022-01-01,Unknown,3,0
2022-01-01,Total,10928,573
2022-01-02,0 to 9,2220,43
2022-01-02,10 to 19,1867,18
2022-01-02,20 to 29,2280,102
2022-01-02,30 to 39,1851,115
2022-01-02,40 to 49,1174,101
2022-01-02,50 to 59,926,109
2022-01-02,60 to 69,410,43
2022-01-02,70+,224,44
2022-01-02,Unknown,3,0
2022-01-02,Total,10955,575
2022-01-03,0 to 9,2227,43
2022-01-03,10 to 19,1871,19
2022-01-03,20 to 29,2284,103
2022-01-03,30 to 39,1853,116
2022-01-03,40 to 49,1181,102
2022-01-03,50 to 59,931,108
2022-01-03,60 to 69,412,43
2022-01-03,70+,224,44
2022-01-03,Unknown,3,0
2022-01-03,Total,10986,578
2022-01-04,0 to 9,2231,43
2022-01-04,10 to 19,1873,19
2022-01-04,20 to 29,2287,103
2022-01-04,30 to 39,1856,116
2022-01-04,40 to 49,1185,102
2022-01-04,50 to 59,931,110
2022-01-04,60 to 69,412,43
2022-01-04,70+,225,44
2022-01-04,Unknown,3,0
2022-01-04,Total,11003,580
2022-01-05,0 to 9,2234,43
2022-01-05,10 to 19,1876,19
2022-01-05,20 to 29,2290,103
2022-01-05,30 to 39,1863,116
2022-01-05,40 to 49,1186,102
2022-01-05,50 to 59,933,112
2022-01-05,60 to 69,412,43
2022-01-05,70+,225,44
2022-01-05,Unknown,3,0
2022-01-05,Total,11022,582
2022-01-06,0 to 9,2242,44
2022-01-06,10 to 19,1881,20
2022-01-06,20 to 29,2299,104
2022-01-06,30 to 39,1870,116
2022-01-06,40 to 49,1188,104
2022-01-06,50 to 59,934,112
2022-01-06,60 to 69,413,44
2022-01-06,70+,227,44
2022-01-06,Unknown,3,0
2022-01-06,Total,11057,588
2022-01-08,0 to 9,2259,44
2022-01-08,10 to 19,1892,20
2022-01-08,20 to 29,2319,104
2022-01-08,30 to 39,1885,116
2022-01-08,40 to 49,1200,104
2022-01-08,50 to 59,939,112
2022-01-08,60 to 69,417,44
2022-01-08,70+,228,44
2022-01-08,Unknown,3,0
2022-01-08,Total,11142,588
2022-01-09,0 to 9,2266,44
2022-01-09,10 to 19,1895,20
2022-01-09,20 to 29,2325,104
2022-01-09,30 to 39,1889,116
2022-01-09,40 to 49,1202,105
2022-01-09,50 to 59,940,112
2022-01-09,60 to 69,421,44
2022-01-09,70+,228,44
2022-01-09,Unknown,3,0
2022-01-09,Total,11169,589
2022-01-10,0 to 9,2267,44
2022-01-10,10 to 19,1896,20
2022-01-10,20 to 29,2329,104
2022-01-10,30 to 39,1892,116
2022-01-10,40 to 49,1203,107
2022-01-10,50 to 59,941,112
2022-01-10,60 to 69,421,44
2022-01-10,70+,231,44
2022-01-10,Unknown,3,0
2022-01-10,Total,11183,591
2022-01-11,0 to 9,2273,44
2022-01-11,10 to 19,1899,20
2022-01-11,20 to 29,2335,105
2022-01-11,30 to 39,1896,117
2022-01-11,40 to 49,1207,107
2022-01-11,50 to 59,941,112
2022-01-11,60 to 69,424,45
2022-01-11,70+,232,44
2022-01-11,Unknown,3,0
2022-01-11,Total,11210,594
2022-01-12,0 to 9,2276,44
2022-01-12,10 to 19,1903,20
2022-01-12,20 to 29,2340,105
2022-01-12,30 to 39,1901,117
2022-01-12,40 to 49,1210,107
2022-01-12,50 to 59,944,112
2022-01-12,60 to 69,426,45
2022-01-12,70+,232,44
2022-01-12,Unknown,4,0
2022-01-12,Total,11236,594
2022-01-13,0 to 9,2279,44
2022-01-13,10 to 19,1906,20
2022-01-13,20 to 29,2341,106
2022-01-13,30 to 39,1907,118
2022-01-13,40 to 49,1213,108
2022-01-13,50 to 59,945,112
2022-01-13,60 to 69,428,46
2022-01-13,70+,232,44
2022-01-13,Unknown,3,0
2022-01-13,Total,11254,598
2022-01-14,0 to 9,2281,44
2022-01-14,10 to 19,1915,20
2022-01-14,20 to 29,2352,106
2022-01-14,30 to 39,1909,118
2022-01-14,40 to 49,1213,108
2022-01-14,50 to 59,947,113
2022-01-14,60 to 69,429,46
2022-01-14,70+,232,44
2022-01-14,Unknown,3,0
2022-01-14,Total,11281,599
2022-01-15,0 to 9,2287,44
2022-01-15,10 to 19,1918,20
2022-01-15,20 to 29,2355,105
2022-01-15,30 to 39,1913,118
2022-01-15,40 to 49,1218,109
2022-01-15,50 to 59,950,113
2022-01-15,60 to 69,430,46
2022-01-15,70+,232,44
2022-01-15,Unknown,3,0
2022-01-15,Total,11306,599
2022-01-16,0 to 9,2290,44
2022-01-16,10 to 19,1920,20
2022-01-16,20 to 29,2358,105
2022-01-16,30 to 39,1917,118
2022-01-16,40 to 49,1220,109
2022-01-16,50 to 59,952,114
2022-01-16,60 to 69,430,46
2022-01-16,70+,232,44
2022-01-16,Unknown,3,0
2022-01-16,Total,11322,600
2022-01-17,0 to 9,2294,44
2022-01-17,10 to 19,1922,20
2022-01-17,20 to 29,2361,106
2022-01-17,30 to 39,1918,119
2022-01-17,40 to 49,1221,109
2022-01-17,50 to 59,953,114
2022-01-17,60 to 69,432,47
2022-01-17,70+,233,44
2022-01-17,Unknown,3,0
2022-01-17,Total,11337,603
2022-01-18,0 to 9,2298,44
2022-01-18,10 to 19,1926,20
2022-01-18,20 to 29,2368,106
2022-01-18,30 to 39,1919,120
2022-01-18,40 to 49,1227,109
2022-01-18,50 to 59,953,114
2022-01-18,60 to 69,432,47
2022-01-18,70+,235,45
2022-01-18,Unknown,2,0
2022-01-18,Total,11360,605
2022-01-19,0 to 9,2302,44
2022-01-19,10 to 19,1931,20
2022-01-19,20 to 29,2377,106
2022-01-19,30 to 39,1924,121
2022-01-19,40 to 49,1235,110
2022-01-19,50 to 59,957,114
2022-01-19,60 to 69,435,49
2022-01-19,70+,236,46
2022-01-19,Unknown,2,0
2022-01-19,Total,11399,610
2022-01-20,0 to 9,2307,44
2022-01-20,10 to 19,1935,20
2022-01-20,20 to 29,2381,106
2022-01-20,30 to 39,1930,121
2022-01-20,40 to 49,1237,110
2022-01-20,50 to 59,958,114
2022-01-20,60 to 69,436,49
2022-01-20,70+,236,46
2022-01-20,Unknown,3,0
2022-01-20,Total,11423,610
2022-01-21,0 to 9,2313,44
2022-01-21,10 to 19,1947,20
2022-01-21,20 to 29,2386,106
2022-01-21,30 to 39,1937,122
2022-01-21,40 to 49,1242,110
2022-01-21,50 to 59,963,114
2022-01-21,60 to 69,438,49
2022-01-21,70+,238,47
2022-01-21,Unknown,2,0
2022-01-21,Total,11466,612
2022-01-22,0 to 9,2314,44
2022-01-22,10 to 19,1950,20
2022-01-22,20 to 29,2393,106
2022-01-22,30 to 39,1939,122
2022-01-22,40 to 49,1244,110
2022-01-22,50 to 59,968,114
2022-01-22,60 to 69,441,49
2022-01-22,70+,239,47
2022-01-22,Unknown,2,0
2022-01-22,Total,11490,612
2022-01-23,0 to 9,2319,44
2022-01-23,10 to 19,1951,20
2022-01-23,20 to 29,2398,106
2022-01-23,30 to 39,1944,122
2022-01-23,40 to 49,1248,110
2022-01-23,50 to 59,971,114
2022-01-23,60 to 69,442,49
2022-01-23,70+,240,47
2022-01-23,Unknown,2,0
2022-01-23,Total,11515,612
2022-01-24,0 to 9,2324,44
2022-01-24,10 to 19,1953,20
2022-01-24,20 to 29,2406,108
2022-01-24,30 to 39,1946,122
2022-01-24,40 to 49,1254,110
2022-01-24,50 to 59,972,114
2022-01-24,60 to 69,443,50
2022-01-24,70+,240,47
2022-01-24,Unknown,3,0
2022-01-24,Total,11541,615
2022-01-25,0 to 9,2324,45
2022-01-25,10 to 19,1957,20
2022-01-25,20 to 29,2413,109
2022-01-25,30 to 39,1951,122
2022-01-25,40 to 49,1256,110
2022-01-25,50 to 59,977,114
2022-01-25,60 to 69,443,50
2022-01-25,70+,241,47
2022-01-25,Unknown,2,0
2022-01-25,Total,11564,617
2022-01-26,0 to 9,2333,45
2022-01-26,10 to 19,1967,20
2022-01-26,20 to 29,2417,109
2022-01-26,30 to 39,1957,122
2022-01-26,40 to 49,1263,110
2022-01-26,50 to 59,982,114
2022-01-26,60 to 69,447,50
2022-01-26,70+,242,47
2022-01-26,Unknown,2,0
2022-01-26,Total,11610,617
2022-01-27,0 to 9,2345,44
2022-01-27,10 to 19,1990,20
2022-01-27,20 to 29,2437,109
2022-01-27,30 to 39,1976,122
2022-01-27,40 to 49,1276,110
2022-01-27,50 to 59,993,114
2022-01-27,60 to 69,450,50
2022-01-27,70+,244,47
2022-01-27,Unknown,2,0
2022-01-27,Total,11713,616
2022-01-28,0 to 9,2348,44
2022-01-28,10 to 19,2012,20
2022-01-28,20 to 29,2459,109
2022-01-28,30 to 39,1994,123
2022-01-28,40 to 49,1284,110
2022-01-28,50 to 59,1007,115
2022-01-28,60 to 69,458,50
2022-01-28,70+,245,47
2022-01-28,Unknown,4,0
2022-01-28,Total,11811,618
2022-01-29,0 to 9,2364,44
2022-01-29,10 to 19,2027,20
2022-01-29,20 to 29,2477,109
2022-01-29,30 to 39,2010,123
2022-01-29,40 to 49,1299,110
2022-01-29,50 to 59,1020,115
2022-01-29,60 to 69,463,50
2022-01-29,70+,248,47
2022-01-29,Unknown,6,0
2022-01-29,Total,11914,618
2022-01-30,0 to 9,2374,44
2022-01-30,10 to 19,2046,20
2022-01-30,20 to 29,2495,109
2022-01-30,30 to 39,2022,123
2022-01-30,40 to 49,1312,110
2022-01-30,50 to 59,1030,115
2022-01-30,60 to 69,467,50
2022-01-30,70+,252,48
2022-01-30,Unknown,7,0
2022-01-30,Total,12005,619
2022-01-31,0 to 9,2388,45
2022-01-31,10 to 19,2078,20
2022-01-31,20 to 29,2518,109
2022-01-31,30 to 39,2044,124
2022-01-31,40 to 49,1323,110
2022-01-31,50 to 59,1040,115
2022-01-31,60 to 69,474,50
2022-01-31,70+,258,48
2022-01-31,Unknown,8,0
2022-01-31,Total,12131,621
2022-02-01,0 to 9,2403,45
2022-02-01,10 to 19,2111,20
2022-02-01,20 to 29,2547,109
2022-02-01,30 to 39,2067,124
2022-02-01,40 to 49,1342,110
2022-02-01,50 to 59,1053,115
2022-02-01,60 to 69,486,50
2022-02-01,70+,259,48
2022-02-01,Unknown,6,0
2022-02-01,Total,12274,621
2022-02-02,0 to 9,2422,45
2022-02-02,10 to 19,2148,20
2022-02-02,20 to 29,2578,110
2022-02-02,30 to 39,2083,124
2022-02-02,40 to 49,1367,111
2022-02-02,50 to 59,1065,116
2022-02-02,60 to 69,492,50
2022-02-02,70+,262,48
2022-02-02,Unknown,4,0
2022-02-02,Total,12421,624
2022-02-03,0 to 9,2444,45
2022-02-03,10 to 19,2198,21
2022-02-03,20 to 29,2615,110
2022-02-03,30 to 39,2119,124
2022-02-03,40 to 49,1393,111
2022-02-03,50 to 59,1092,116
2022-02-03,60 to 69,498,50
2022-02-03,70+,266,48
2022-02-03,Unknown,5,0
2022-02-03,Total,12630,625
2022-02-04,0 to 9,2471,46
2022-02-04,10 to 19,2244,22
2022-02-04,20 to 29,2661,110
2022-02-04,30 to 39,2169,124
2022-02-04,40 to 49,1426,112
2022-02-04,50 to 59,1114,116
2022-02-04,60 to 69,507,50
2022-02-04,70+,273,48
2022-02-04,Unknown,5,0
2022-02-04,Total,12870,628
2022-02-05,0 to 9,2498,47
2022-02-05,10 to 19,2276,22
2022-02-05,20 to 29,2709,110
2022-02-05,30 to 39,2213,124
2022-02-05,40 to 49,1456,113
2022-02-05,50 to 59,1131,117
2022-02-05,60 to 69,511,50
2022-02-05,70+,277,48
2022-02-05,Unknown,7,0
2022-02-05,Total,13078,631
2022-02-06,0 to 9,2522,47
2022-02-06,10 to 19,2314,22
2022-02-06,20 to 29,2748,110
2022-02-06,30 to 39,2245,125
2022-02-06,40 to 49,1478,114
2022-02-06,50 to 59,1153,117
2022-02-06,60 to 69,515,50
2022-02-06,70+,283,48
2022-02-06,Unknown,8,0
2022-02-06,Total,13266,633
2022-02-07,0 to 9,2553,47
2022-02-07,10 to 19,2344,22
2022-02-07,20 to 29,2799,110
2022-02-07,30 to 39,2274,125
2022-02-07,40 to 49,1502,114
2022-02-07,50 to 59,1171,117
2022-02-07,60 to 69,529,50
2022-02-07,70+,290,49
2022-02-07,Unknown,6,0
2022-02-07,Total,13468,634
2022-02-08,0 to 9,2585,47
2022-02-08,10 to 19,2378,22
2022-02-08,20 to 29,2844,110
2022-02-08,30 to 39,2307,126
2022-02-08,40 to 49,1526,115
2022-02-08,50 to 59,1190,117
2022-02-08,60 to 69,539,50
2022-02-08,70+,296,49
2022-02-08,Unknown,6,0
2022-02-08,Total,13671,636
2022-02-09,0 to 9,2619,47
2022-02-09,10 to 19,2415,22
2022-02-09,20 to 29,2920,112
2022-02-09,30 to 39,2365,126
2022-02-09,40 to 49,1576,116
2022-02-09,50 to 59,1224,118
2022-02-09,60 to 69,550,50
2022-02-09,70+,301,49
2022-02-09,Unknown,7,0
2022-02-09,Total,13977,640
2022-02-10,0 to 9,2684,49
2022-02-10,10 to 19,2494,23
2022-02-10,20 to 29,3015,112
2022-02-10,30 to 39,2449,127
2022-02-10,40 to 49,1625,116
2022-02-10,50 to 59,1268,118
2022-02-10,60 to 69,569,51
2022-02-10,70+,310,49
2022-02-10,Unknown,7,0
2022-02-10,Total,14421,645
2022-02-11,0 to 9,2746,49
2022-02-11,10 to 19,2557,25
2022-02-11,20 to 29,3122,112
2022-02-11,30 to 39,2549,127
2022-02-11,40 to 49,1689,117
2022-02-11,50 to 59,1306,118
2022-02-11,60 to 69,582,51
2022-02-11,70+,315,50
2022-02-11,Unknown,8,0
2022-02-11,Total,14874,649
2022-02-13,0 to 9,2931,51
2022-02-13,10 to 19,2890,27
2022-02-13,20 to 29,3554,113
2022-02-13,30 to 39,2849,129
2022-02-13,40 to 49,1907,117
2022-02-13,50 to 59,1457,120
2022-02-13,60 to 69,661,51
2022-02-13,70+,366,53
2022-02-13,Unknown,0,0
2022-02-13,Total,16615,661
2022-02-14,0 to 9,3040,51
2022-02-14,10 to 19,3009,27
2022-02-14,20 to 29,3743,113
2022-02-14,30 to 39,2981,130
2022-02-14,40 to 49,1990,118
2022-02-14,50 to 59,1521,120
2022-02-14,60 to 69,693,51
2022-02-14,70+,377,54
2022-02-14,Unknown,0,0
2022-02-14,Total,17354,664
2022-02-15,0 to 9,3180,52
2022-02-15,10 to 19,3246,28
2022-02-15,20 to 29,4013,113
2022-02-15,30 to 39,3215,130
2022-02-15,40 to 49,2119,119
2022-02-15,50 to 59,1607,120
2022-02-15,60 to 69,729,51
2022-02-15,70+,399,55
2022-02-15,Unknown,0,0
2022-02-15,Total,18508,668
2022-02-16,0 to 9,3367,52
2022-02-16,10 to 19,3569,28
2022-02-16,20 to 29,4402,113
2022-02-16,30 to 39,3497,131
2022-02-16,40 to 49,2284,120
2022-02-16,50 to 59,1728,120
2022-02-16,60 to 69,782,51
2022-02-16,70+,418,57
2022-02-16,Unknown,0,0
2022-02-16,Total,20047,672
2022-02-17,0 to 9,3616,54
2022-02-17,10 to 19,3941,28
2022-02-17,20 to 29,4924,114
2022-02-17,30 to 39,3809,132
2022-02-17,40 to 49,2488,123
2022-02-17,50 to 59,1886,121
2022-02-17,60 to 69,843,51
2022-02-17,70+,437,60
2022-02-17,Unknown,0,0
2022-02-17,Total,21944,683
2022-02-18,0 to 9,3759,54
2022-02-18,10 to 19,4318,28
2022-02-18,20 to 29,5457,114
2022-02-18,30 to 39,4136,132
2022-02-18,40 to 49,2681,123
2022-02-18,50 to 59,2009,121
2022-02-18,60 to 69,917,51
2022-02-18,70+,471,60
2022-02-18,Unknown,0,0
2022-02-18,Total,23748,683
2022-02-19,0 to 9,4059,57
2022-02-19,10 to 19,4906,31
2022-02-19,20 to 29,6022,114
2022-02-19,30 to 39,4500,134
2022-02-19,40 to 49,2906,123
2022-02-19,50 to 59,2164,123
2022-02-19,60 to 69,984,51
2022-02-19,70+,520,60
2022-02-19,Unknown,0,0
2022-02-19,Total,26061,693
2022-02-20,0 to 9,4292,57
2022-02-20,10 to 19,5473,31
2022-02-20,20 to 29,6590,118
2022-02-20,30 to 39,4833,135
2022-02-20,40 to 49,3135,123
2022-02-20,50 to 59,2318,123
2022-02-20,60 to 69,1067,51
2022-02-20,70+,570,60
2022-02-20,Unknown,0,0
2022-02-20,Total,28278,698
2022-02-21,0 to 9,4568,58
2022-02-21,10 to 19,6254,33
2022-02-21,20 to 29,7327,122
2022-02-21,30 to 39,5304,140
2022-02-21,40 to 49,3416,125
2022-02-21,50 to 59,2485,123
2022-02-21,60 to 69,1141,54
2022-02-21,70+,613,60
2022-02-21,Unknown,0,0
2022-02-21,Total,31108,715
2022-02-22,0 to 9,4872,68
2022-02-22,10 to 19,7247,49
2022-02-22,20 to 29,8127,165
2022-02-22,30 to 39,5712,178
2022-02-22,40 to 49,3715,149
2022-02-22,50 to 59,2695,156
2022-02-22,60 to 69,1243,75
2022-02-22,70+,675,115
2022-02-22,Unknown,0,0
2022-02-22,Total,34286,955
2022-02-23,0 to 9,5196,77
2022-02-23,10 to 19,8593,53
2022-02-23,20 to 29,10182,172
2022-02-23,30 to 39,6885,189
2022-02-23,40 to 49,4347,154
2022-02-23,50 to 59,3050,160
2022-02-23,60 to 69,1407,80
2022-02-23,70+,746,124
2022-02-23,Unknown,0,0
2022-02-23,Total,40406,1009
2022-02-24,0 to 9,5995,81
2022-02-24,10 to 19,11136,57
2022-02-24,20 to 29,13918,184
2022-02-24,30 to 39,9113,198
2022-02-24,40 to 49,5686,158
2022-02-24,50 to 59,3878,177
2022-02-24,60 to 69,1754,84
2022-02-24,70+,921,134
2022-02-24,Unknown,0,0
2022-02-24,Total,52401,1073
2022-02-25,0 to 9,7157,82
2022-02-25,10 to 19,14192,60
2022-02-25,20 to 29,17577,189
2022-02-25,30 to 39,11539,206
2022-02-25,40 to 49,7284,162
2022-02-25,50 to 59,4912,180
2022-02-25,60 to 69,2203,89
2022-02-25,70+,1152,136
2022-02-25,Unknown,0,0
2022-02-25,Total,66016,1104
2022-02-26,0 to 9,8660,84
2022-02-26,10 to 19,18305,63
2022-02-26,20 to 29,21154,192
2022-02-26,30 to 39,13958,215
2022-02-26,40 to 49,8909,170
2022-02-26,50 to 59,5936,181
2022-02-26,60 to 69,2666,97
2022-02-26,70+,1393,155
2022-02-26,Unknown,0,0
2022-02-26,Total,80981,1157
2022-02-27,0 to 9,10032,88
2022-02-27,10 to 19,21777,64
2022-02-27,20 to 29,24768,203
2022-02-27,30 to 39,16618,225
2022-02-27,40 to 49,10714,180
2022-02-27,50 to 59,6965,187
2022-02-27,60 to 69,3163,101
2022-02-27,70+,1614,171
2022-02-27,Unknown,0,0
2022-02-27,Total,95651,1219
2022-02-28,0 to 9,11720,90
2022-02-28,10 to 19,25781,68
2022-02-28,20 to 29,29150,212
2022-02-28,30 to 39,19781,236
2022-02-28,40 to 49,12995,181
2022-02-28,50 to 59,8509,194
2022-02-28,60 to 69,3832,110
2022-02-28,70+,1882,183
2022-02-28,Unknown,0,0
2022-02-28,Total,113650,1274
2022-03-01,0 to 9,14139,92
2022-03-01,10 to 19,30740,69
2022-03-01,20 to 29,35401,224
2022-03-01,30 to 39,24099,250
2022-03-01,40 to 49,15852,186
2022-03-01,50 to 59,10399,200
2022-03-01,60 to 69,4773,113
2022-03-01,70+,2343,188
2022-03-01,Unknown,0,0
2022-03-01,Total,137746,1322
2022-03-02,0 to 9,16250,103
2022-03-02,10 to 19,35333,82
2022-03-02,20 to 29,41584,241
2022-03-02,30 to 39,28315,264
2022-03-02,40 to 49,18747,197
2022-03-02,50 to 59,12313,206
2022-03-02,60 to 69,5637,126
2022-03-02,70+,2738,208
2022-03-02,Unknown,0,0
2022-03-02,Total,160917,1427
2022-03-03,0 to 9,18512,111
2022-03-03,10 to 19,39669,85
2022-03-03,20 to 29,47234,258
2022-03-03,30 to 39,32522,285
2022-03-03,40 to 49,21576,206
2022-03-03,50 to 59,14191,217
2022-03-03,60 to 69,6582,139
2022-03-03,70+,3212,225
2022-03-03,Unknown,0,0
2022-03-03,Total,183498,1526
2022-03-04,0 to 9,20481,115
2022-03-04,10 to 19,43210,89
2022-03-04,20 to 29,51596,273
2022-03-04,30 to 39,36010,300
2022-03-04,40 to 49,24170,215
2022-03-04,50 to 59,15867,234
2022-03-04,60 to 69,7411,152
2022-03-04,70+,3629,260
2022-03-04,Unknown,1,0
2022-03-04,Total,202375,1638
2022-03-05,0 to 9,22274,122
