date,sex,active,recovered,deceased,total
2022-02-01,Unknown,11,31,0,42
2022-02-01,Total,1835,14929,53,16817
2022-02-02,Female,1029,7394,23,8446
2022-02-02,Male,935,7554,30,8519
2022-02-02,Unknown,10,30,0,40
2022-02-02,Total,1974,14978,53,17005
2022-02-03,Female,1127,7426,23,8576
2022-02-03,Male,1040,7589,30,8659
2022-02-03,Unknown,12,30,0,42
2022-02-03,Total,2179,15045,53,17277
2022-02-04,Female,1238,7459,23,8720
2022-02-04,Male,1137,7616,30,8783
2022-02-04,Unknown,13,30,0,43
2022-02-04,Total,2388,15105,53,17546
2022-02-05,Female,1306,7509,23,8838
2022-02-05,Male,1199,7660,30,8889
2022-02-05,Unknown,14,32,0,46
2022-02-05,Total,2519,15201,53,17773
2022-02-06,Female,1397,7518,23,8938
2022-02-06,Male,1296,7677,30,9003
2022-02-06,Unknown,14,33,0,47
2022-02-06,Total,2707,15228,53,17988
2022-02-07,Female,1492,7564,23,9079
2022-02-07,Male,1377,7723,30,9130
2022-02-07,Unknown,11,33,0,44
2022-02-07,Total,2880,15320,53,18253
2022-02-08,Female,1569,7609,23,9201
2022-02-08,Male,1455,7770,30,9255
2022-02-08,Unknown,11,36,0,47
2022-02-08,Total,3035,15415,53,18503
2022-02-09,Female,1680,7663,23,9366
2022-02-09,Male,1590,7803,30,9423
2022-02-09,Unknown,15,33,0,48
2022-02-09,Total,3285,15499,53,18837
2022-02-10,Female,1887,7711,23,9621
2022-02-10,Male,1755,7856,30,9641
2022-02-10,Unknown,18,33,0,51
2022-02-10,Total,3660,15600,53,19313
2022-02-11,Female,2106,7739,23,9868
2022-02-11,Male,1936,7892,30,9858
2022-02-11,Unknown,17,34,0,51
2022-02-11,Total,4059,15665,53,19777
2022-02-13,Female,2913,7855,23,10791
2022-02-13,Male,2731,7981,30,10742
2022-02-13,Unknown,12,28,0,40
2022-02-13,Total,5656,15864,53,21573
2022-02-14,Female,3230,7913,23,11166
2022-02-14,Male,3064,8025,30,11119
2022-02-14,Unknown,15,28,0,43
2022-02-14,Total,6309,15966,53,22328
2022-02-15,Female,3742,7977,23,11742
2022-02-15,Male,3603,8086,30,11719
2022-02-15,Unknown,20,28,0,48
2022-02-15,Total,7365,16091,53,23509
2022-02-16,Female,4391,8063,23,12477
2022-02-16,Male,4322,8172,30,12524
2022-02-16,Unknown,21,28,0,49
2022-02-16,Total,8734,16263,53,25050
2022-02-17,Female,5192,8171,23,13386
2022-02-17,Male,5194,8269,30,13493
2022-02-17,Unknown,26,30,0,56
2022-02-17,Total,10412,16470,53,26935
2022-02-18,Female,6011,8232,23,14266
2022-02-18,Male,6053,8343,30,14426
2022-02-18,Unknown,28,31,0,59
2022-02-18,Total,12092,16606,53,28751
2022-02-19,Female,7093,8331,23,15447
2022-02-19,Male,7132,8412,30,15574
2022-02-19,Unknown,34,32,0,66
2022-02-19,Total,14259,16775,53,31087
2022-02-20,Female,8188,8384,23,16595
2022-02-20,Male,8146,8476,30,16652
2022-02-20,Unknown,37,33,0,70
2022-02-20,Total,16371,16893,53,33317
2022-02-21,Female,9568,8472,25,18065
2022-02-21,Male,9414,8575,31,18020
2022-02-21,Unknown,44,33,0,77
2022-02-21,Total,19026,17080,56,36162
2022-02-22,Female,11088,8572,25,19685
2022-02-22,Male,10878,8662,31,19571
2022-02-22,Unknown,56,33,0,89
2022-02-22,Total,22022,17267,56,39345
2022-02-23,Female,14268,8679,25,22972
2022-02-23,Male,13617,8756,31,22404
2022-02-23,Unknown,64,33,0,97
2022-02-23,Total,27949,17468,56,45473
2022-02-24,Female,20330,8815,25,29170
2022-02-24,Male,19307,8873,31,28211
2022-02-24,Unknown,83,33,0,116
2022-02-24,Total,39720,17721,56,57497
2022-02-25,Female,27431,8924,25,36380
2022-02-25,Male,25579,8989,31,34599
2022-02-25,Unknown,109,34,0,143
2022-02-25,Total,53119,17947,56,71122
2022-02-26,Female,35156,9003,25,44184
2022-02-26,Male,32682,9077,31,41790
2022-02-26,Unknown,130,34,0,164
2022-02-26,Total,67968,18114,56,86138
2022-02-27,Female,42549,9120,25,51694
2022-02-27,Male,39728,9178,31,48937
2022-02-27,Unknown,156,34,0,190
2022-02-27,Total,82433,18332,56,100821
2022-02-28,Female,51433,9256,25,60714
2022-02-28,Male,48519,9323,31,57873
2022-02-28,Unknown,191,34,0,225
2022-02-28,Total,100143,18613,56,118812
2022-03-01,Female,63796,9320,25,73141
2022-03-01,Male,60083,9394,31,69508
2022-03-01,Unknown,235,34,0,269
2022-03-01,Total,124114,18748,56,142918
2022-03-02,Female,75457,9591,25,85073
2022-03-02,Male,71054,9635,31,80720
2022-03-02,Unknown,268,37,0,305
2022-03-02,Total,146779,19263,56,166098
2022-03-03,Female,78766,18040,26,96832
2022-03-03,Male,73451,18022,37,91510
2022-03-03,Unknown,262,76,0,338
2022-03-03,Total,152479,36138,63,188680
2022-03-04,Female,86935,19777,26,106738
2022-03-04,Male,80710,19715,37,100462
2022-03-04,Unknown,274,88,0,362
2022-03-04,Total,167919,39580,63,207562
2022-03-05,Female,93205,21627,27,114859
2022-03-05,Male,86040,21446,38,107524
2022-03-05,Unknown,291,93,0,384
2022-03-05,Total,179536,43166,65,222767
2022-03-06,Female,100100,23863,27,123990
2022-03-06,Male,92207,23677,38,115922
2022-03-06,Unknown,301,106,0,407
2022-03-06,Total,192608,47646,65,240319
2022-03-07,Female,99725,36464,27,136216
2022-03-07,Male,92578,34999,38,127615
2022-03-07,Unknown,276,148,0,424
2022-03-07,Total,192579,71611,65,264255
2022-03-08,Female,104755,43232,27,148014
2022-03-08,Male,97215,41032,38,138285
2022-03-08,Unknown,287,164,0,451
2022-03-08,Total,202257,84428,65,286750
2022-03-10,Female,109351,60771,35,170157
2022-03-10,Male,100266,57902,51,158219
2022-03-10,Unknown,250,210,0,460
2022-03-10,Total,209867,118883,86,328836
2022-03-11,Female,107919,72181,38,180138
2022-03-11,Male,98244,68657,55,166956
2022-03-11,Unknown,239,240,0,479
2022-03-11,Total,206405,141078,93,347576
2022-03-12,Female,103520,84291,44,187855
2022-03-12,Male,93636,80059,57,173752
2022-03-12,Unknown,228,271,0,499
2022-03-12,Total,197387,164621,101,362109
2022-03-13,Female,100143,96010,45,196198
2022-03-13,Male,90109,90807,57,180973
2022-03-13,Unknown,212,299,0,511
2022-03-13,Total,190467,187116,102,377685
2022-03-14,Female,101417,105915,45,207377
2022-03-14,Male,91634,99742,57,191433
2022-03-14,Unknown,211,318,0,529
2022-03-14,Total,193265,205975,102,399342
2022-03-16,Female,105023,123032,61,228116
2022-03-16,Male,94630,115106,74,209810
2022-03-16,Unknown,192,355,0,547
2022-03-16,Total,199847,238495,135,438477
2022-03-17,Female,65478,170078,61,235617
2022-03-17,Male,58279,158139,77,216495
2022-03-17,Unknown,109,445,0,554
2022-03-17,Total,123867,328665,138,452670
2022-03-18,Female,65345,180065,65,245475
2022-03-18,Male,58205,166886,79,225170
2022-03-18,Unknown,115,461,0,576
2022-03-18,Total,123665,347416,144,471225
2022-03-19,Female,64208,187783,65,252056
2022-03-19,Male,56821,173669,86,230576
2022-03-19,Unknown,105,481,0,586
2022-03-19,Total,121134,361937,151,483222
2022-03-20,Female,63556,196125,71,259752
2022-03-20,Male,56398,180892,92,237382
2022-03-20,Unknown,105,488,0,593
2022-03-20,Total,120059,377509,163,497731
2022-03-21,Female,63187,207303,78,270568
2022-03-21,Male,56051,191350,99,247500
2022-03-21,Unknown,108,505,0,613
2022-03-21,Total,119346,399162,177,518685
2022-03-22,Female,63585,217618,81,281284
2022-03-22,Male,56301,200521,103,256925
2022-03-22,Unknown,103,523,0,626
2022-03-22,Total,119989,418666,184,538839
2022-03-23,Female,63019,228023,85,291127
2022-03-23,Male,55749,209707,107,265563
2022-03-23,Unknown,101,535,0,636
2022-03-23,Total,118869,438269,192,557330
2022-03-24,Female,64041,235515,88,299644
2022-03-24,Male,56473,216352,113,272938
2022-03-24,Unknown,111,547,0,658
2022-03-24,Total,120625,452418,201,573244
2022-03-25,Female,63061,244023,94,307178
2022-03-25,Male,55672,223822,123,279617
2022-03-25,Unknown,104,564,0,668
2022-03-25,Total,118837,468413,217,587467
2022-03-26,Female,60777,251969,96,312842
2022-03-26,Male,53637,230461,127,284225
2022-03-26,Unknown,97,577,0,674
2022-03-26,Total,114511,483011,223,597745
2022-03-27,Female,60094,259646,97,319837
2022-03-27,Male,52789,237240,134,290163
2022-03-27,Unknown,93,590,0,683
2022-03-27,Total,112976,497480,231,610687
2022-03-28,Female,58294,270443,117,328854
2022-03-28,Male,50845,247351,149,298345
2022-03-28,Unknown,88,607,0,695
2022-03-28,Total,109227,518405,266,627898
2022-03-29,Female,56122,281151,118,337391
2022-03-29,Male,48858,256759,160,305777
2022-03-29,Unknown,85,618,0,703
2022-03-29,Total,105065,538532,278,643875
2022-03-30,Female,54373,290981,132,345486
2022-03-30,Male,47416,265388,167,312971
2022-03-30,Unknown,86,628,0,714
2022-03-30,Total,101875,557001,299,659175
2022-03-31,Female,53150,299503,134,352787
2022-03-31,Male,46257,272751,180,319188
2022-03-31,Unknown,79,654,0,733
2022-03-31,Total,99486,572912,314,672712
2022-04-02,Female,50843,312902,148,363893
2022-04-02,Male,44159,284213,202,328574
2022-04-02,Unknown,76,672,0,748
2022-04-02,Total,95078,597791,350,693219
2022-04-03,Female,49609,319677,154,369440
2022-04-03,Male,43097,289955,209,333261
2022-04-03,Unknown,83,679,0,762
2022-04-03,Total,92789,610315,363,703467
2022-04-04,Female,48103,328686,164,376953
2022-04-04,Male,41581,298123,222,339926
2022-04-04,Unknown,76,691,0,767
2022-04-04,Total,89760,627504,386,717650
2022-04-05,Female,46388,337222,170,383780
2022-04-05,Male,39945,305549,234,345728
2022-04-05,Unknown,70,703,0,773
2022-04-05,Total,86403,643478,404,730285
2022-04-06,Female,44654,345307,182,390143
2022-04-06,Male,38073,312737,244,351054
2022-04-06,Unknown,72,714,0,786
2022-04-06,Total,82799,658762,426,741987
2022-04-08,Female,41248,358793,191,400232
2022-04-08,Male,34852,324389,254,359495
2022-04-08,Unknown,70,739,0,809
2022-04-08,Total,76170,683925,445,760540
2022-04-09,Female,40030,363692,196,403918
2022-04-09,Male,33988,328309,261,362558
2022-04-09,Unknown,69,746,0,815
2022-04-09,Total,74087,692751,457,767295
2022-04-10,Female,38706,369237,201,408144
2022-04-10,Male,32699,332993,268,365960
2022-04-10,Unknown,61,759,0,820
2022-04-10,Total,71466,702993,469,774928
2022-04-11,Female,37022,376749,206,413977
2022-04-11,Male,31310,339656,277,371243
2022-04-11,Unknown,68,766,0,834
2022-04-11,Total,68400,717175,483,786058
2022-04-12,Female,35277,383571,213,419061
2022-04-12,Male,29961,345455,284,375700
2022-04-12,Unknown,71,770,0,841
2022-04-12,Total,65309,729800,497,795606
2022-04-13,Female,34213,389922,222,424357
2022-04-13,Male,28962,350776,292,380030
2022-04-13,Unknown,65,784,0,849
2022-04-13,Total,63240,741486,514,805240
2022-04-14,Female,33049,395335,231,428615
2022-04-14,Male,27974,355321,303,383598
2022-04-14,Unknown,56,797,0,853
2022-04-14,Total,61079,751457,534,813070
2022-04-15,Female,31612,400006,236,431854
2022-04-15,Male,26651,359202,307,386160
2022-04-15,Unknown,51,813,0,864
2022-04-15,Total,58314,760025,543,818882
2022-04-16,Female,31268,403690,240,435198
2022-04-16,Male,26211,362269,314,388794
2022-04-16,Unknown,53,818,0,871
2022-04-16,Total,57532,766781,554,824867
2022-04-17,Female,30460,407910,248,438618
2022-04-17,Male,25664,365671,316,391651
2022-04-17,Unknown,53,823,0,876
2022-04-17,Total,56177,774408,564,831149
2022-04-18,Female,29089,413736,249,443074
2022-04-18,Male,24234,370940,321,395495
2022-04-18,Unknown,49,833,0,882
2022-04-18,Total,53372,785513,570,839455
2022-04-19,Female,29987,418801,254,449042
2022-04-19,Male,25086,375382,328,400796
2022-04-19,Unknown,65,840,0,905
2022-04-19,Total,55138,795027,582,850747
2022-04-20,Female,30242,424100,261,454603
2022-04-20,Male,25549,379715,339,405603
2022-04-20,Unknown,69,839,0,908
2022-04-20,Total,55860,804658,600,861118
2022-04-21,Female,31022,428351,269,459642
2022-04-21,Male,26405,383279,341,410025
2022-04-21,Unknown,64,856,0,920
2022-04-21,Total,57491,812490,610,870591
2022-04-22,Female,32134,431578,278,463990
2022-04-22,Male,27476,385831,349,413656
2022-04-22,Unknown,52,873,0,925
2022-04-22,Total,59662,818286,627,878575
2022-04-23,Female,31958,434923,284,467165
2022-04-23,Male,27373,388467,352,416192
2022-04-23,Unknown,50,878,0,928
2022-04-23,Total,59381,824272,636,884289
2022-04-24,Female,31724,438347,290,470361
2022-04-24,Male,27062,391325,354,418741
2022-04-24,Unknown,52,881,0,933
2022-04-24,Total,58838,830557,644,890039
2022-04-25,Female,30785,442805,292,473882
2022-04-25,Male,26142,395169,357,421668
2022-04-25,Unknown,56,885,0,941
2022-04-25,Total,56983,838863,649,896495
2022-04-26,Female,30113,448770,299,479182
2022-04-26,Male,25435,400461,372,426268
2022-04-26,Unknown,43,900,0,943
2022-04-26,Total,55591,850135,671,906397
2022-04-27,Female,29387,454324,304,484015
2022-04-27,Male,24925,405249,379,430553
2022-04-27,Unknown,43,907,0,950
2022-04-27,Total,54355,860484,683,915522
2022-04-28,Female,28757,459354,311,488422
2022-04-28,Male,24433,409646,385,434464
2022-04-28,Unknown,39,918,0,957
2022-04-28,Total,53229,869922,696,923847
2022-04-29,Female,28298,463694,313,492305
2022-04-29,Male,24036,413274,389,437699
2022-04-29,Unknown,45,916,0,961
2022-04-29,Total,52379,877888,702,930969
2022-04-30,Female,28279,466862,316,495457
2022-04-30,Male,24066,415808,391,440265
2022-04-30,Unknown,52,919,0,971
2022-04-30,Total,52397,883593,707,936697
2022-05-01,Female,28730,470044,317,499091
2022-05-01,Male,24603,418349,396,443348
2022-05-01,Unknown,62,923,0,985
2022-05-01,Total,53395,889320,713,943428
2022-05-02,Female,30087,473561,327,503975
2022-05-02,Male,26043,421273,404,447720
2022-05-02,Unknown,64,934,0,998
2022-05-02,Total,56194,895772,731,952697
2022-05-03,Female,29452,478843,334,508629
2022-05-03,Male,25341,425859,419,451619
2022-05-03,Unknown,71,939,0,1010
2022-05-03,Total,54864,905645,753,961262
2022-05-04,Female,29388,483661,346,513395
2022-05-04,Male,24985,430132,428,455545
2022-05-04,Unknown,71,944,0,1015
2022-05-04,Total,54444,914741,774,969959
2022-05-05,Female,28997,488052,359,517408
2022-05-05,Male,24499,434031,438,458968
2022-05-05,Unknown,50,949,0,999
2022-05-05,Total,53547,923036,797,977380
2022-05-06,Female,28817,491930,365,521112
2022-05-06,Male,24384,437266,443,462093
2022-05-06,Unknown,53,955,0,1008
2022-05-06,Total,53255,930155,808,984218
2022-05-07,Female,28733,495082,367,524182
2022-05-07,Male,24470,439836,443,464749
2022-05-07,Unknown,52,958,0,1010
2022-05-07,Total,53256,935880,810,989946
2022-05-08,Female,28575,498717,367,527659
2022-05-08,Male,24374,442916,445,467735
2022-05-08,Unknown,50,968,0,1018
2022-05-08,Total,52999,942606,812,996417
2022-05-09,Female,30232,501941,376,532549
2022-05-09,Male,25849,445798,450,472097
2022-05-09,Unknown,50,973,0,1023
2022-05-09,Total,56131,948717,826,1005674
2022-05-10,Female,28261,508234,385,536880
2022-05-10,Male,24170,451163,470,475803
2022-05-10,Unknown,51,982,0,1033
2022-05-10,Total,52482,960384,855,1013721
2022-05-11,Female,28624,513002,389,542015
2022-05-11,Male,24588,455083,474,480145
2022-05-11,Unknown,51,989,0,1040
2022-05-11,Total,53263,969079,863,1023205
2022-05-12,Female,28727,517005,403,546135
2022-05-12,Male,24578,458476,489,483543
2022-05-12,Unknown,53,997,0,1050
2022-05-12,Total,53358,976483,892,1030733
2022-05-13,Female,28939,520696,411,550046
2022-05-13,Male,24669,461580,498,486747
2022-05-13,Unknown,52,1005,0,1057
2022-05-13,Total,53660,983286,909,1037855
2022-05-14,Female,29032,523758,419,553209
2022-05-14,Male,24669,464234,504,489407
2022-05-14,Unknown,54,1008,0,1062
2022-05-14,Total,53755,989005,923,1043683
2022-05-15,Female,29378,527234,422,557034
2022-05-15,Male,24970,467217,507,492694
2022-05-15,Unknown,49,1015,0,1064
2022-05-15,Total,54397,995471,929,1050797
2022-05-16,Female,29743,532117,426,562286
2022-05-16,Male,25248,471593,511,497352
2022-05-16,Unknown,51,1015,0,1066
2022-05-16,Total,55042,1004731,937,1060710
2022-05-17,Female,30618,536446,434,567498
2022-05-17,Male,25984,475279,533,501796
2022-05-17,Unknown,50,1023,0,1073
2022-05-17,Total,56652,1012754,967,1070373
2022-05-18,Female,30491,541573,439,572503
2022-05-18,Male,25821,479614,534,505969
2022-05-18,Unknown,49,1030,0,1079
2022-05-18,Total,56361,1022223,973,1079557
2022-05-19,Female,30686,545685,452,576823
2022-05-19,Male,26006,483011,538,509555
2022-05-19,Unknown,42,1040,0,1082
2022-05-19,Total,56734,1029742,990,1087466
2022-05-20,Female,30412,549593,454,580459
2022-05-20,Male,25884,486213,543,512640
2022-05-20,Unknown,39,1048,0,1087
2022-05-20,Total,56335,1036860,997,1094192
2022-05-21,Female,30006,552753,456,583215
2022-05-21,Male,25519,488866,551,514936
2022-05-21,Unknown,40,1053,0,1093
2022-05-21,Total,55565,1042678,1007,1099250
2022-05-22,Female,29451,556572,464,586487
2022-05-22,Male,25020,492151,553,517724
2022-05-22,Unknown,46,1054,0,1100
2022-05-22,Total,54517,1049783,1017,1105317
2022-05-23,Female,28750,561840,472,591062
2022-05-23,Male,24282,496808,559,521649
2022-05-23,Unknown,50,1059,0,1109
2022-05-23,Total,53083,1059714,1031,1113828
2022-05-24,Female,28000,567031,479,595510
2022-05-24,Male,23629,501249,562,525440
2022-05-24,Unknown,49,1068,0,1117
2022-05-24,Total,51679,1069355,1041,1122075
2022-05-25,Female,27163,572030,488,599681
2022-05-25,Male,22956,505410,569,528935
2022-05-25,Unknown,52,1073,0,1125
2022-05-25,Total,50171,1078521,1057,1129749
2022-05-26,Female,26583,576328,504,603415
2022-05-26,Male,22591,508982,582,532155
2022-05-26,Unknown,55,1074,1,1130
2022-05-26,Total,49229,1086392,1087,1136708
2022-05-27,Female,26504,579957,511,606972
2022-05-27,Male,22386,512059,586,535031
2022-05-27,Unknown,56,1078,1,1135
2022-05-27,Total,48946,1093102,1098,1143146
2022-05-28,Female,26458,582713,515,609686
2022-05-28,Male,22269,514346,591,537206
2022-05-28,Unknown,59,1085,1,1145
2022-05-28,Total,48786,1098152,1107,1148045
2022-05-29,Female,26419,585982,517,612918
2022-05-29,Male,22143,517132,594,539869
2022-05-29,Unknown,58,1092,1,1151
2022-05-29,Total,48620,1104214,1112,1153946
2022-05-30,Female,26418,590550,525,617493
2022-05-30,Male,22195,521052,602,543849
2022-05-30,Unknown,57,1091,1,1149
2022-05-30,Total,48670,1112701,1128,1162499
2022-05-31,Female,26482,595001,529,622012
2022-05-31,Male,22203,524841,610,547654
2022-05-31,Unknown,54,1086,1,1141
2022-05-31,Total,48739,1120936,1140,1170815
2022-06-01,Female,26727,599164,533,626424
2022-06-01,Male,22281,528335,617,551233
2022-06-01,Unknown,56,1094,1,1151
2022-06-01,Total,49064,1128601,1151,1178816
2022-06-02,Female,26459,602898,537,629894
2022-06-02,Male,21918,531549,625,554092
2022-06-02,Unknown,57,1099,1,1157
2022-06-02,Total,48434,1135554,1163,1185151
2022-06-03,Female,26453,606453,545,633451
2022-06-03,Male,21882,534428,626,556936
2022-06-03,Unknown,57,1107,1,1165
2022-06-03,Total,48392,1141996,1172,1191560
2022-06-04,Female,26204,609164,551,635919
2022-06-04,Male,21705,536604,627,558936
2022-06-04,Unknown,56,1113,1,1170
2022-06-04,Total,47965,1146889,1179,1196033
2022-06-06,Female,24081,616957,557,641595
2022-06-06,Male,19763,543224,636,563623
2022-06-06,Unknown,59,1125,1,1185
2022-06-06,Total,43903,1161314,1194,1206411
2022-06-07,Female,23419,621459,567,645445
2022-06-07,Male,19245,547011,648,566904
2022-06-07,Unknown,55,1133,1,1189
2022-06-07,Total,42719,1169611,1216,1213546
2022-06-08,Female,23441,625870,579,649890
2022-06-08,Male,19384,550588,660,570632
2022-06-08,Unknown,60,1132,1,1193
2022-06-08,Total,42885,1177599,1240,1221724
2022-06-09,Female,23443,629329,584,653356
2022-06-09,Male,19531,553442,662,573635
2022-06-09,Unknown,39,1142,1,1182
2022-06-09,Total,43018,1183922,1247,1228187
2022-06-10,Female,22787,632865,587,656239
2022-06-10,Male,19062,556284,666,576012
2022-06-10,Unknown,35,1149,1,1185
2022-06-10,Total,41884,1190312,1254,1233450
2022-06-11,Female,22813,635337,589,658739
2022-06-11,Male,19089,558280,671,578040
2022-06-11,Unknown,32,1153,1,1186
2022-06-11,Total,41934,1194784,1261,1237979
2022-06-12,Female,22772,637801,591,661164
2022-06-12,Male,19163,560293,675,580131
2022-06-12,Unknown,29,1158,1,1188
2022-06-12,Total,41964,1199266,1267,1242497
2022-06-13,Female,23004,641008,605,664617
2022-06-13,Male,19386,562962,680,583028
2022-06-13,Unknown,32,1160,1,1193
2022-06-13,Total,42422,1205144,1286,1248852
2022-06-14,Female,22212,644894,610,667716
2022-06-14,Male,18685,566267,684,585636
2022-06-14,Unknown,28,1165,1,1194
2022-06-14,Total,40925,1212340,1295,1254560
2022-06-15,Female,20992,649286,615,670893
2022-06-15,Male,17692,569953,692,588337
2022-06-15,Unknown,24,1172,1,1197
2022-06-15,Total,38708,1220425,1308,1260441
2022-06-16,Female,20322,652746,617,673685
2022-06-16,Male,16915,572944,697,590556
2022-06-16,Unknown,25,1174,1,1200
2022-06-16,Total,37262,1226878,1315,1265455
2022-06-17,Female,19964,655620,620,676204
2022-06-17,Male,16600,575312,703,592615
2022-06-17,Unknown,25,1180,1,1206
2022-06-17,Total,36589,1232126,1324,1270039
2022-06-18,Female,19314,658115,622,678051
2022-06-18,Male,16080,577332,706,594118
2022-06-18,Unknown,24,1181,1,1206
2022-06-18,Total,35418,1236642,1329,1273389
2022-06-19,Female,19263,660563,627,680453
2022-06-19,Male,15753,579431,709,595893
2022-06-19,Unknown,24,1183,1,1208
2022-06-19,Total,35040,1241191,1337,1277568
2022-06-20,Female,19054,663990,634,683678
2022-06-20,Male,15513,582309,715,598537
2022-06-20,Unknown,24,1190,1,1215
2022-06-20,Total,34591,1247503,1350,1283444
2022-06-21,Female,19074,667078,644,686796
2022-06-21,Male,15466,584915,723,601104
2022-06-21,Unknown,25,1188,1,1214
2022-06-21,Total,34565,1253195,1368,1289128
2022-06-22,Female,18803,670264,649,689716
2022-06-22,Male,15352,587624,730,603706
2022-06-22,Unknown,29,1191,1,1221
2022-06-22,Total,34184,1259093,1380,1294657
2022-06-24,Female,18571,675552,660,694783
2022-06-24,Male,15133,591879,743,607755
2022-06-24,Unknown,26,1200,1,1227
2022-06-24,Total,33730,1268645,1404,1303779
2022-06-25,Female,19240,677396,661,697297
2022-06-25,Male,15723,593376,748,609847
2022-06-25,Unknown,28,1200,1,1229
2022-06-25,Total,34991,1271986,1410,1308387
2022-06-26,Female,19899,679794,667,700360
2022-06-26,Male,16640,595146,753,612539
2022-06-26,Unknown,30,1201,1,1232
2022-06-26,Total,36569,1276155,1421,1314145
2022-06-27,Female,21217,683003,672,704892
2022-06-27,Male,17791,597778,764,616333
2022-06-27,Unknown,29,1207,1,1237
2022-06-27,Total,39037,1282002,1437,1322476
2022-06-28,Female,22481,686139,679,709299
2022-06-28,Male,18840,600371,769,619980
2022-06-28,Unknown,34,1210,1,1245
2022-06-28,Total,41355,1287734,1449,1330538
2022-06-29,Female,23956,689060,690,713706
2022-06-29,Male,19773,602980,775,623528
2022-06-29,Unknown,39,1213,1,1253
2022-06-29,Total,43768,1293267,1466,1338501
2022-06-30,Female,25141,691839,693,717673
2022-06-30,Male,20862,605211,779,626852
2022-06-30,Unknown,38,1218,1,1257
2022-06-30,Total,46041,1298282,1473,1345796
2022-07-01,Female,26766,694065,702,721533
2022-07-01,Male,22119,606977,791,629887
2022-07-01,Unknown,36,1217,1,1254
2022-07-01,Total,48921,1302273,1494,1352688
2022-07-02,Female,27073,696578,707,724358
2022-07-02,Male,22370,609062,797,632229
2022-07-02,Unknown,41,1219,1,1261
2022-07-02,Total,49484,1306873,1505,1357862
2022-07-03,Female,27739,699649,711,728099
2022-07-03,Male,22800,611753,800,635353
2022-07-03,Unknown,42,1224,1,1267
2022-07-03,Total,50581,1312640,1512,1364733
2022-07-04,Female,28471,704192,723,733386
2022-07-04,Male,23515,615539,810,639864
2022-07-04,Unknown,42,1228,1,1271
2022-07-04,Total,52028,1320973,1534,1374535
2022-07-06,Female,31295,717151,731,749177
2022-07-06,Male,26256,625508,830,652594
2022-07-06,Unknown,35,1267,0,1302
2022-07-06,Total,57586,1343926,1561,1403073
2022-07-07,Female,32414,721180,739,754333
2022-07-07,Male,27296,628866,842,657004
2022-07-07,Unknown,33,1272,0,1305
2022-07-07,Total,59743,1351318,1581,1412642
2022-07-08,Female,33793,724991,747,759531
2022-07-08,Male,28625,631856,855,661336
2022-07-08,Unknown,37,1274,0,1311
2022-07-08,Total,62455,1358121,1602,1422178
2022-07-09,Female,35005,727993,751,763749
2022-07-09,Male,29674,634318,860,664852
2022-07-09,Unknown,44,1279,0,1323
2022-07-09,Total,64723,1363590,1611,1429924
2022-07-10,Female,36175,731560,761,768496
2022-07-10,Male,30587,637319,867,668773
2022-07-10,Unknown,48,1282,0,1330
2022-07-10,Total,66810,1370161,1628,1438599
2022-07-11,Female,37254,736852,771,774877
2022-07-11,Male,31531,641834,874,674239
2022-07-11,Unknown,46,1289,0,1335
2022-07-11,Total,68831,1379975,1645,1450451
2022-07-12,Female,38053,742515,786,781354
2022-07-12,Male,31981,646692,888,679561
2022-07-12,Unknown,47,1295,0,1342
2022-07-12,Total,70081,1390502,1674,1462257
2022-07-13,Female,38561,748391,797,787749
2022-07-13,Male,32236,651719,900,684855
2022-07-13,Unknown,50,1301,0,1351
2022-07-13,Total,70847,1401411,1697,1473955
2022-07-14,Female,39268,753536,801,793605
2022-07-14,Male,32764,656105,912,689781
2022-07-14,Unknown,56,1304,0,1360
2022-07-14,Total,72088,1410945,1713,1484746
2022-07-15,Female,39197,758730,820,798747
2022-07-15,Male,32802,660438,921,694161
2022-07-15,Unknown,54,1310,0,1364
2022-07-15,Total,72053,1420478,1741,1494272
2022-07-17,Female,38063,767713,839,806615
2022-07-17,Male,31920,667863,945,700728
2022-07-17,Unknown,57,1328,0,1385
2022-07-17,Total,70040,1436904,1784,1508728
2022-07-18,Female,37532,774070,851,812453
2022-07-18,Male,31373,673318,952,705643
2022-07-18,Unknown,61,1333,0,1394
2022-07-18,Total,68966,1448721,1803,1519490
